Training on device: cpu
Timestep: 178176/200000 | Elapsed: 3927s | AvgReward(100): 74.83
Timestep: 180224/200000 | Elapsed: 3972s | AvgReward(100): 68.86
Timestep: 182272/200000 | Elapsed: 4017s | AvgReward(100): 61.73
Timestep: 184320/200000 | Elapsed: 4061s | AvgReward(100): 52.32
Timestep: 186368/200000 | Elapsed: 4107s | AvgReward(100): 47.48
Timestep: 188416/200000 | Elapsed: 4154s | AvgReward(100): 46.04
Timestep: 190464/200000 | Elapsed: 4199s | AvgReward(100): 36.69
Timestep: 192512/200000 | Elapsed: 4246s | AvgReward(100): 33.03
Timestep: 194560/200000 | Elapsed: 4294s | AvgReward(100): 26.81
Timestep: 196608/200000 | Elapsed: 4339s | AvgReward(100): 31.20
Timestep: 198656/200000 | Elapsed: 4385s | AvgReward(100): 33.79
Timestep: 200000/200000 | Elapsed: 4416s | AvgReward(100): 41.94
Training complete. Model saved to ppo_carracing.pth
